Product,Category,Stock,MinStock,Price
Industrial Valve A,Hydraulics,250,100,45
Industrial Valve B,Hydraulics,180,80,52
Industrial Valve C,Hydraulics,90,100,49
Hydraulic Pump A,Hydraulics,75,100,250
Hydraulic Pump B,Hydraulics,120,90,275
Hydraulic Pump C,Hydraulics,55,80,260
Control Sensor A,Electronics,45,80,85
Control Sensor B,Electronics,110,70,90
Control Sensor C,Electronics,95,75,88
Power Module A,Electronics,180,70,120
Power Module B,Electronics,220,100,135
Power Module C,Electronics,60,90,125
Pressure Gauge A,Instrumentation,500,150,35
Pressure Gauge B,Instrumentation,420,150,38
Pressure Gauge C,Instrumentation,350,150,40
Flow Meter A,Instrumentation,90,120,140
Flow Meter B,Instrumentation,150,120,155
Flow Meter C,Instrumentation,70,100,145
Safety Switch A,Electrical,60,50,25
Safety Switch B,Electrical,120,60,28
Safety Switch C,Electrical,35,50,26
Motor Controller A,Electrical,25,40,310
Motor Controller B,Electrical,90,60,320
Motor Controller C,Electrical,70,60,305
Pipe Connector A,Mechanical,320,100,12
Pipe Connector B,Mechanical,450,120,14
Pipe Connector C,Mechanical,280,100,13
Actuator Unit A,Mechanical,280,100,180
Actuator Unit B,Mechanical,210,90,195
Actuator Unit C,Mechanical,95,100,185
Bearing Assembly A,Mechanical,340,120,22
Bearing Assembly B,Mechanical,260,120,24
Bearing Assembly C,Mechanical,110,100,23
PLC Controller A,Automation,45,60,420
PLC Controller B,Automation,80,60,450
PLC Controller C,Automation,30,60,430
Industrial Relay A,Automation,180,90,18
Industrial Relay B,Automation,130,90,20
Industrial Relay C,Automation,75,90,19
Servo Motor A,Automation,40,60,520
Servo Motor B,Automation,95,60,540
Servo Motor C,Automation,50,60,530
Temperature Probe A,Instrumentation,210,80,16
Temperature Probe B,Instrumentation,175,80,17
Temperature Probe C,Instrumentation,60,80,16
Circuit Breaker A,Electrical,160,70,48
Circuit Breaker B,Electrical,90,70,50
Circuit Breaker C,Electrical,45,70,47
Industrial Fan A,Mechanical,130,80,95
Industrial Fan B,Mechanical,85,80,100
